"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Get Pokemon with invalid ID -- @1.2 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","68","Get Pokemon with invalid ID -- @1.1 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","118","Pokemon evolution chain integration","","Sat Dec 27 18:19:04 EST 2025","broken","Sat Dec 27 18:19:04 EST 2025","","","",""
"","114","Get Pokemon by valid name -- @1.2 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","68","Multiple endpoint performance -- @1.3 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","78","Get Pokemon by valid name -- @1.1 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","75","Get Pokemon by valid ID -- @1.1 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","85","Get ability by valid identifier -- @1.4 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","84","Get ability by valid identifier -- @1.2 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","95","Get Pokemon by valid ID -- @1.3 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","82","Get ability by valid identifier -- @1.3 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","75","Multiple endpoint performance -- @1.1 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","114","Get ability by valid identifier -- @1.1 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","109","Get Pokemon by valid name -- @1.3 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","61","Multiple endpoint performance -- @1.2 ","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","75","Validate ability response structure","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","84","Single Pokemon request performance","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:02 EST 2025","","","",""
"","130","Get Pokemon by valid ID -- @1.2 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","99","Validate Pokemon response structure","","Sat Dec 27 18:19:04 EST 2025","passed","Sat Dec 27 18:19:04 EST 2025","","","",""
"","90","Get Pokemon with invalid name -- @1.2 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:04 EST 2025","","","",""
"","74","Pokemon list pagination performance","","Sat Dec 27 18:19:02 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","55","Get Pokemon with invalid name -- @1.1 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
"","101","Get Pokemon with invalid ID -- @1.3 ","","Sat Dec 27 18:19:03 EST 2025","passed","Sat Dec 27 18:19:03 EST 2025","","","",""
